Вопрос,Ответ
"Задержали","меня_задержали.md"
"Как вести себя при задержании","меня_задержали.md"
"Везут в отдел полиции","везут_в_полицию.md"
"Пришла полиция","везут_в_полицию.md"
"вломились менты","везут_в_полицию.md"
"Полиция за дверью","везут_в_полицию.md"
"Как подготовиться к аресту","везут_в_полицию.md"
"Сказали, что сейчас меня будут обыскивать (личный обыск)","личный_обыск.md"
"Обыск","личный_обыск.md"
"как защититься от прослушивания в офисе?","защита_от_прослушивания.md"
"как проверить помещение на прослушку?","защита_от_прослушивания.md"
"Мне надо срочно уехать (бежать), скрыться, что делать.","надо_бежать.md"
"Вас задерживают","вас_задерживают.md"
"Мне страшно, что делать? Я боюсь, как справиться со страхом?","мне_страшно.md"
"Я боюсь, что делать","мне_страшно.md"
"Боюсь","мне_страшно.md"
"Нужна ли безопасность в офисе?","безопасность_в_офисе.md"
"Безопасность в офисе","безопасность_в_офисе.md"
"Нужен ли в офисе домофон","нужен_ли_домофон.md"
"Какой домофон установит в офисе","нужен_ли_домофон.md"
"какой домофон установить","нужен_ли_домофон.md"
"Какую установить систему видеонаблюдения","видеонаблюдение_в_офисе.md"
"Подготовка ребёнка к обыску","подготовка_ребёнка.md"
"Дети и обыск","подготовка_ребёнка.md"
"Дети боятся","подготовка_ребёнка.md"
"Подготовка родных","подготовка_родных.md"
"Психологически подготовка к обыску","психологическая_подготовка_к_обыску.md"
"Как подготовить себя к обыску?","подготовка_к_обыску.md"
"Как подготовить помещение к обыску?","подготовка_к_обыску.md"
